"length","RandomCode (deletions)","RandomCode (seconds)","GreedyCode (deletions)","GreedyCode (seconds)","RepetitionCode (deletions)","RepetitionCode (seconds)","VTRepetitionCode (deletions)","VTRepetitionCode (seconds)","VTRepetitionNaryCode (4-ary) (deletions)","VTRepetitionNaryCode (4-ary) (seconds)","RandomGreedyCode (2 options) (deletions)","RandomGreedyCode (2 options) (seconds)"
50,7,0.0017731984456380208,11,0.42670416831970215,4,0.000934759775797526,9,0.0025119781494140625,2,0.009254217147827148,16,0.05531811714172363
100,14,0.005059480667114258,20,3.6661904652913413,9,0.0020841757456461587,9,0.0049707889556884766,4,0.018787066141764324,38,0.5646335283915201
150,23,0.010056734085083008,51,12.353699843088785,16,0.0035594304402669272,19,0.007608493169148763,2,0.029164473215738933,61,2.4126559098561606
200,30,0.016762495040893555,54,29.005632956822712,24,0.00461117426554362,29,0.010011434555053711,8,0.03816612561543783,80,6.9359290599823
250,39,0.024653196334838867,51,55.512662172317505,25,0.0057566165924072266,39,0.01238107681274414,10,0.04747923215230306,103,16.34302584330241
300,47,0.03471724192301432,73,96.51236478487651,27,0.007684866587320964,35,0.015755653381347656,13,0.06032999356587728,123,32.74492955207825
350,56,0.04599841435750326,83,161.35375356674194,37,0.00895253817240397,49,0.018587509791056316,12,0.07101353009541829,151,58.84887011845907
400,65,0.05854193369547526,101,236.1265742778778,39,0.010215520858764648,51,0.02125708262125651,14,0.08023564020792644,172,98.11505023638408
450,73,0.07318989435831706,80,329.2821222941081,49,0.011490424474080404,53,0.023636341094970703,16,0.09086163838704427,191,166.0485179424286
500,82,0.08903662363688152,118,461.1875654856364,51,0.012762308120727539,67,0.026273330052693684,31,0.10100372632344563,216,318.9098196029663
550,91,0.1079566478729248,145,610.6960026423136,54,0.015465656916300455,68,0.029706160227457683,18,0.11385885874430339,240,462.25692987442017
