"length","LinSpaceCode (deletions)","LinSpaceCode (seconds)",LinSpaceCode (codewords),"LogSpaceCode (shorter pattern) (deletions)","LogSpaceCode (shorter pattern) (seconds)",LogSpaceCode (shorter pattern) (codewords),"LogSpaceCode (longer pattern) (deletions)","LogSpaceCode (longer pattern) (seconds)",LogSpaceCode (longer pattern) (codewords),"RandomGreedyCode (2 options) (deletions)","RandomGreedyCode (2 options) (seconds)",RandomGreedyCode (2 options) (codewords)
50,16,6.540616353352864e-05,6,19,6.953875223795573e-05,6,5,4.99884287516276e-05,6,17,0.05637423197428385,50
100,36,5.626678466796875e-05,7,41,5.87304433186849e-05,7,7,5.141894022623698e-05,7,39,0.5793625513712565,100
150,59,6.56445821126302e-05,8,67,6.318092346191406e-05,8,3,6.000200907389323e-05,8,59,2.4807256857554116,150
200,79,6.302197774251302e-05,8,87,6.381670633951823e-05,8,13,5.793571472167969e-05,8,80,7.19742210706075,200
250,99,7.073084513346355e-05,8,101,6.469090779622395e-05,8,23,6.4849853515625e-05,8,99,16.82503080368042,250
300,99,7.804234822591145e-05,9,139,6.969769795735677e-05,9,5,6.643931070963542e-05,9,126,39.955700079600014,300
350,116,7.764498392740886e-05,9,159,7.184346516927083e-05,9,13,6.922086079915364e-05,9,146,74.88111305236816,350
400,133,8.026758829752605e-05,9,177,7.557868957519531e-05,9,21,0.00017333030700683594,9,170,128.35520521799722,400
450,149,8.368492126464844e-05,9,193,7.375081380208333e-05,9,31,9.202957153320312e-05,9,193,199.49146167437235,450
500,166,9.26653544108073e-05,9,209,8.114178975423177e-05,9,41,0.00017849604288736978,9,214,313.17107288042706,500
550,195,0.00011285146077473958,10,263,9.26653544108073e-05,10,5,0.0002254645029703776,10,238,458.01590180397034,550
