"length","RandomCode (deletions)","RandomCode (seconds)","RepetitionCode (deletions)","RepetitionCode (seconds)","VTRepetitionCode (deletions)","VTRepetitionCode (seconds)","VTRepetitionNaryCode (deletions)","VTRepetitionNaryCode (seconds)","RandomGreedyCode (deletions)","RandomGreedyCode (seconds)"
50,7,0.0026285648345947266,4,0.0004208882649739583,9,0.003000179926554362,2,0.009466727574666342,16,0.09577155113220215
100,14,0.005670865376790364,9,0.0026677449544270835,9,0.006483872731526692,4,0.02168901761372884,37,1.1208540598551433
150,23,0.011941115061442057,16,0.002999385197957357,19,0.008654514948527018,2,0.030006885528564453,61,4.736896355946858
200,31,0.019330263137817383,24,0.004999796549479167,29,0.011998891830444336,8,0.041332244873046875,81,14.982883214950562
250,39,0.030332565307617188,25,0.006254990895589192,39,0.015332937240600586,10,0.05233391125996908,104,36.02188436190287
300,47,0.04300379753112793,27,0.008635759353637695,35,0.020641803741455078,13,0.07100033760070801,127,115.5274498462677
350,56,0.09674580891927083,37,0.015333414077758789,49,0.04335800806681315,12,0.13801256815592447,148,199.77841202418008
400,64,0.10398300488789876,39,0.017029841740926106,51,0.041702588399251304,14,0.14841079711914062,173,330.9543610413869
450,73,0.08935149510701497,49,0.013461748758951822,53,0.030333757400512695,16,0.10866816838582356,198,369.7576359113057
500,83,0.12285844484965007,51,0.01467132568359375,67,0.034314632415771484,31,0.1178127924601237,221,564.2258409659067
