"length","RandomCode (deletions)","RandomCode (seconds)",RandomCode (codewords),"GreedyCode (deletions)","GreedyCode (seconds)",GreedyCode (codewords),"RepetitionCode (deletions)","RepetitionCode (seconds)",RepetitionCode (codewords),"RandomGreedyCode (deletions)","RandomGreedyCode (seconds)",RandomGreedyCode (codewords)
50,7,0.0033604303995768228,50,9,0.8350036938985189,50,4,0.0011227130889892578,50,18,0.17402140299479166,50
100,14,0.007665157318115234,100,34,6.0245265165964765,100,9,0.001972039540608724,100,38,1.5771111647288005,100
150,23,0.028657913208007812,150,62,46.00717337926229,150,16,0.010253667831420898,150,55,11.7691117922465,150
200,31,0.03770256042480469,200,79,52.096150954564415,200,24,0.0056447188059488935,200,82,17.87710491816203,200
250,39,0.033593972524007164,250,50,93.59085647265117,250,25,0.007342815399169922,250,104,39.1343195438385,250
300,47,0.046323299407958984,300,83,180.55656417210898,300,27,0.011928240458170572,300,124,114.71590558687846,300
350,56,0.0925294558207194,350,78,249.22597813606262,350,37,0.011036952336629232,350,149,146.03159761428833,350
400,64,0.06966058413187663,400,110,472.15276408195496,400,39,0.01835497220357259,400,175,281.54834055900574,400
450,73,0.09711917241414388,450,98,8292.715471029282,450,49,0.014757474263509115,450,194,444.6910934448242,450
500,81,0.14941016832987467,500,98,931.088699499766,500,51,0.018771648406982422,500,215,652.5888430277506,500
