"length","LinSpaceCode (deletions)","LinSpaceCode (seconds)",LinSpaceCode (codewords),"LogSpaceCode (deletions)","LogSpaceCode (seconds)",LogSpaceCode (codewords)
50,16,0.0020004908243815103,6,19,0.0023330052693684897,6
100,36,0.00033283233642578125,7,41,0.0,7
150,59,0.0,8,67,0.0,8
200,79,0.0,8,87,0.00033402442932128906,8
250,99,0.0003330707550048828,8,101,0.00017118453979492188,8
300,99,0.0003323554992675781,9,139,0.0003330707550048828,9
350,116,0.0,9,159,0.0,9
400,133,0.00033346811930338543,9,177,0.0006673336029052734,9
450,149,0.0,9,193,0.0,9
500,166,0.0001656214396158854,9,209,0.0,9
