"length","RandomGreedyCode (deletions)","RandomGreedyCode (seconds)","RandomGreedyCode (deletions)","RandomGreedyCode (seconds)","RandomGreedyCode (deletions)","RandomGreedyCode (seconds)","RandomGreedyCode (deletions)","RandomGreedyCode (seconds)"
50,17,0.14281535148620605,16,0.17133172353108725,16,0.23155840237935385,17,0.3953558603922526
100,36,1.4305716355641682,38,2.103552261988322,38,2.8007147312164307,36,3.5458760261535645
150,58,5.829842487970988,61,8.637964725494385,60,11.958695332209269,55,18.222567319869995
200,82,20.378150463104248,84,31.92870291074117,81,44.34647297859192,83,54.73491962750753
250,103,51.957414309183754,103,79.25359718004863,104,104.61904827753703,105,135.57509771982828
300,129,110.03511214256287,124,168.57378896077475,126,221.6569492816925,126,268.4674886862437
350,144,158.85023673375449,149,226.68759306271872,150,275.18793749809265,145,350.2150805791219
400,171,235.62065132459006,171,353.0024847984314,170,473.2927318414052,171,912.9096941153208
450,195,497.2517387866974,195,742.912535905838,193,1081.1495524247487,196,1357.7086907227833
500,216,825.0804605484009,218,1227.8584407170613,212,1758.8483618100483,216,2228.4469640254974
